	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP100307	1	8731	34.37177871950521	c522821fcd65e4121efab65fad857e34	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	4.76906e-05	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP096694	1	22354	34.79019414869822	6eac50ece1805c68b3586f19efb25229	rep_cluster_1226	000523__LT594096_00001	MOBQ,MOBQ	NC_006877_00013,CP042207_00010	-	-	-	-	mobilizable	CP040086	0.00170624	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103622	1	243762	52.97216137051714	f1ce4130cec6cf88f937752926389a90	ColRNAI_rep_cluster_1987,IncFIB,IncFII,IncQ1,rep_cluster_2183	CP024554_00008,000107__CP014778_00094,000132__HG969996,000195__NC_013728_00014,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP027425	0.0117564	Klebsiella oxytoca	AA277	AI090	multi-phylla	Proteobacteria,Actinobacteria	multi-phylla	Proteobacteria,Actinobacteria	phylum	Proteobacteria	11254626; 25389419; 20547789; 2653965; 19482926; 15781495; 20851899; 16257053
NZ_CP088896	1	12709	32.93728853568337	518f3637500a14f913b6a73c57202855	rep_cluster_1906	001341__NC_013277_00009	-	-	-	-	-	-	non-mobilizable	KT022421	0.0327227	Acinetobacter baumannii	AB872	AK834	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP082232	1	101692	33.84042009204264	c658e70bc543bd4559d9f61215ac559c	rep_cluster_976	002460__CP015884	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	MK140641	0.00508714	Enterococcus faecalis	AE311	AO068	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103545	1	132824	50.52324881045594	c178fda51d8dd8c83efb8224cd182815	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP024827	0.0100207	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP062377	1	19781	28.284717658359032	2ee4b416f6e77b7538dd4abddbfcb75a	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP027496	0.00774383	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103523	1	82867	50.164721783098216	9fa21d2fe489a3fa44a3481fd01a0f6b	IncFIA,IncFIB,IncFII,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,KF954760,000121__CP024805	MOBF	NC_011980_00044	-	-	-	-	mobilizable	MF156715	0.00793	Citrobacter freundii	AA172	AH831	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP101786	1	190034	50.397823547365206	7a0c2b9344033481bc3ea8c4251ee0f6	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP034124	0.00075568	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP091877	1	16594	26.678317464143667	d6f51524051696a9bbcf01ab6bf65aba	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	GQ900447	0.0136991	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP085293	1	35757	34.292586067063795	dbed83cd4b68cd44e68533c86cb01134	Inc18	AB290882	MOBQ	X92945	MPF_T	NC_013514_00028,NC_014475_00046	-	-	conjugative	CP038866	0.0262266	Vagococcus sp. CF-49	AD055	AM476	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP103568	1	149523	52.32840432575591	57bed18854a6a57b6c258ee7a41e33c8	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00141,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_021502_00150	-	-	conjugative	CP010390	0.0124467	Klebsiella pneumoniae	AA276	AI083	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP098728	1	42928	29.339824822959372	fc4cc11d14f347ec9f581ca2b50c9fc6	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	000261__GQ900456,CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	AP020312	0.0125875	Staphylococcus aureus	AB628	AK482	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102547	1	132031	52.17411062553492	eaab791308ea13dc1f02fafa22bab876	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP023922	0.000143503	Klebsiella pneumoniae	AA018	AH562	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP096758	1	11194	34.777559406825084	d4f3655f65fc9eab7e02d778326b25dc	rep_cluster_1226	000523__LT594096_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	CP040086	4.76906e-05	Acinetobacter baumannii	AE689	AO523	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103530	1	133836	52.64353387728264	32cc0d4907e6ddc7c887d13e6dc7a348	IncFIA,IncFIC,IncFII	000136__AP014877_00014,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	AP018833	0.000557238	Escherichia coli	AA170	AH818	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP103757	1	70739	51.90630345354048	0afcc58d05212d7dc95f136b9e5d2f12	IncFIA	CP022610_00144	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	NZ_CP012164	conjugative	CP021938	0.0140996	Escherichia coli	AA336	AI265	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
NZ_CP062392	1	24655	28.671669032650577	1c64c83133d197e4d4151a5da1b285c3	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000385581	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP086565	1	48549	35.26746173968568	c055a11d2af61226202d6bf2dd8f9405	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_006827_00028,NC_004671_00018	-	-	conjugative	MG765452	0.00600989	Enterococcus faecalis	AB528	AK340	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103594	1	94615	53.42598953654283	a3c3a0df4d2fcf9f1189d63ab64ef4d9	IncK2/Z	KR905388	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	CP026855	0.00940624	Escherichia coli	AA282	AI113	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
NZ_CP097067	1	57278	34.948845979259055	75702d09793c7e22ef835d583e66ef74	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0191812	Enterococcus faecalis	AD582	AN187	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	-	-	-
NZ_CP076577	1	92649	50.88236246478645	b5d621f29da03baba562e565acd694e7	rep_cluster_1254	000562__KT346360_00001	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP019215	0.0198862	Escherichia coli	AA474	AI611	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP103746	1	120324	51.87743093647153	cc2cfb8b6a36d667f52f5a460a4a9ac7	IncFIA,IncFIB,IncFIC	CP022610_00144,000096__NC_019117_00097,AP001918	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP019261	0.00268639	Escherichia coli	AA594	AI821	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103535	1	94558	52.7316567609298	fa5700dab1c569a86c48fbddeeca421c	IncI1/B/O	FJ386569	MOBP,MOBP	NC_021819_00066,NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	CP018984	conjugative	CP032260	0.00473708	Escherichia coli	AA282	AI113	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
NZ_CP087334	1	7296	32.90844298245614	a794fe33b5f831578de70eaeb9b85ffd	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP003968	0.0375603	Acinetobacter baumannii D1279779	AB337	AK067	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NZ_CP076501	1	53420	34.554473979782856	5f8b4b23917c719f886a0af971dff9b0	rep_cluster_180	001222__CP008815_00027	MOBP	NC_013533_00032	MPF_T	NC_006827_00028,NC_004671_00018	-	-	conjugative	CP022485	0.0365754	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP073982	1	247187	46.008892053384685	d3395d40a942db544e9021f6db1b0e46	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00200,NC_005211_00207,NC_005211_00012	MOBH	NC_015864	conjugative	CP031547	0.00528099	Escherichia coli	AA738	AJ049	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
NZ_CP097011	1	102954	35.00981020649999	72fb3e182d291c45df0246d040f168d4	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.0121217	Enterococcus faecalis	AD582	AN186	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP103698	1	172383	52.24297059454818	aa3de2b01c6656435d55bbe4fff57cfc	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP028817	0.00694555	Klebsiella pneumoniae	AA277	AI089	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP075740	1	95375	50.9735255570118	b5ac66e14f5c7d8009e02b4d6f9ee95c	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP019215	0.00869309	Escherichia coli	AA474	AI611	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP092555	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103747	1	89420	51.863117870722434	86ed275a3c08585389cb5ea29548cf44	IncFIA,IncFIA,IncFIC,IncFIC	000136__AP014877_00014,MK878891_00042,AP001918,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_013437_00116,08-5333_00200	MOBP	AP014804	conjugative	CP021684	0.00853806	Escherichia coli	AA338	AI281	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP076494	1	119714	33.881584442922296	5f36bc165fdca69e45d79154bc00befb	rep_cluster_980,rep_cluster_992	002463__CP002494_00007,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP019514	0.017653	Enterococcus faecalis	AE309	AO064	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP075717	1	162438	46.463265984560266	68c075206ebb5f3b4aa3c19c4ff9324a	IncFIA,IncFIB	CP022610_00144,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP009167	0.0471738	Escherichia coli 1303	AA304	AI158	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP101516	1	228609	46.97365370567213	655ff95fc2e2a4bb9a0aeef62240584c	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00207,NC_005211_00200,NC_005211_00012	MOBH	NC_015864	conjugative	CP033636	0.00708822	Escherichia coli	AA738	AJ047	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
NZ_CP080252	1	20729	28.361233055140143	7a21231f815ed96aea04f4ec40451ea5	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP029083	0.000361208	Staphylococcus aureus	AA411	AI462	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP092543	1	24653	28.65371354399059	004b2d8d64a04a56ef42f16fa93aa762	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000508006	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP099509	1	22489	28.502823602650185	21bd6d27a1ede1281f3549a70a410f1b	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.0024636	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP103677	1	207376	51.78853869300208	9c3f085c23665678d8a86ea7285f9bb6	IncFIB,IncFII	000107__CP014778_00094,000124__KP125893_00142	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP034282	0.000458924	Klebsiella pneumoniae	AA277	AI089	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP068683	1	17697	28.253376278465275	dcbaff4b0e69786c3728ad66c40171d2	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	CP020609	mobilizable	MK933273	0.00427048	Staphylococcus aureus subsp. aureus	AA841	AJ231	class	Bacilli	class	Bacilli	-	-	-
NZ_CP062371	1	27267	27.179374335277075	654958263fc0a65e54993891499698ff	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000261__GQ900456,000262__NC_007169_00002,HF937104	-	-	-	-	MOBV,MOBV	JN106164,AJ639924	mobilizable	CP040624	0.000167546	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP087346	1	11084	35.348249729339585	28a5eb0d81362239ed5d94bbc780840e	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	KR535993	0.00314086	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP103688	1	183966	51.61769022536773	bb1a2784cd676bbccbd3fe236e6adb11	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021654_00004,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	NC_024992	2.38274e-05	Klebsiella pneumoniae	AA274	AI067	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP102062	1	152865	50.17302848918981	12253b2bcce5de17f806fd2d76d7010a	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_019037_00027,NC_017054_00096,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KT754162	conjugative	LC484363	0.0118927	Escherichia coli	AA175	AH848	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
NZ_CP101727	1	149214	52.96486924819387	c416819ad0b435b41b5821fda45fa4b9	IncFIA,IncFII,IncR	MH263653_00001,JN232517,000204__CP008701_00115	MOBF	NC_017627_00068	MPF_F	NC_014312_00116,NC_022609_00068,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBP	AP014804	conjugative	CP036301	0.00149601	Klebsiella pneumoniae subsp. pneumoniae	AA032	AH591	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 23711894; 24247128; 20851899; 22511964
NZ_CP099577	1	16683	28.66990349457532	cf0748c45f45ffd8c445b6588204cb95	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	NC_008459	mobilizable	CP030436	0.00445566	Staphylococcus aureus	AA840	AJ230	class	Bacilli	class	Bacilli	-	-	-
NZ_CP102886	1	100448	49.97013380057343	2a3a0f82441f8f7de16cccd805f4d8bc	IncFIA,IncFII,rep_cluster_2183	AF250878,000124__KP125893_00142,CP017721_00179	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	MG736312	0.00363721	Klebsiella pneumoniae	AA440	AI513	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 20547789; 19897651; 24247128; 20851899; 22511964
NZ_CP102067	1	64566	35.730880029737015	2a9953e9d27e9f02c2be262e3aaf7a8b	rep_cluster_180	001222__CP008815_00027	MOBP	NC_006827_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP008815	0.0323015	Enterococcus faecalis ATCC 29212	AB528	AK345	genus	Enterococcus	genus	Enterococcus	-	-	-
