	Plasmids
33	['NZ_CP068683', 'NZ_CP092539', 'NZ_CP092551', 'NZ_CP094858']
34	['NZ_CP070360', 'NZ_CP077839']
35	['NZ_CP070361', 'NZ_CP076805']
36	['NZ_CP070469', 'NZ_CP070472']
37	['NZ_CP070470', 'NZ_CP070473']
38	['NZ_CP071174', 'NZ_CP102075']
39	['NZ_CP073087', 'NZ_CP102076']
40	['NZ_CP073927', 'NZ_CP075741', 'NZ_CP102642']
41	['NZ_CP073928', 'NZ_CP102064', 'NZ_CP103477', 'NZ_CP103520', 'NZ_CP103604', 'NZ_CP103632', 'NZ_CP103709', 'NZ_CP103737', 'NZ_CP103767']
42	['NZ_CP073931', 'NZ_CP073990']
43	['NZ_CP073933', 'NZ_CP103593']
44	['NZ_CP073942', 'NZ_CP074017', 'NZ_CP103575']
45	['NZ_CP073954', 'NZ_CP103759']
46	['NZ_CP073957', 'NZ_CP103689']
47	['NZ_CP073965', 'NZ_KY630469']
48	['NZ_CP073967', 'NZ_CP073987']
49	['NZ_CP073992', 'NZ_CP074026']
50	['NZ_CP073993', 'NZ_CP074027', 'NZ_CP074029', 'NZ_CP074053', 'NZ_CP103474']
51	['NZ_CP073998', 'NZ_CP074025', 'NZ_CP102988', 'NZ_CP103510']
52	['NZ_CP074010', 'NZ_CP074018', 'NZ_CP102888', 'NZ_CP103649', 'NZ_CP103653']
53	['NZ_CP074014', 'NZ_CP103536']
54	['NZ_CP074016', 'NZ_CP097394', 'NZ_CP103519', 'NZ_CP103761']
55	['NZ_CP074021', 'NZ_CP103628']
56	['NZ_CP074022', 'NZ_CP101916', 'NZ_CP102635', 'NZ_CP103730']
57	['NZ_CP074023', 'NZ_CP097215']
58	['NZ_CP074038', 'NZ_CP103472', 'NZ_CP103483', 'NZ_CP103525']
59	['NZ_CP074039', 'NZ_CP075728', 'NZ_CP103473', 'NZ_CP103631']
60	['NZ_CP074040', 'NZ_CP101917', 'NZ_CP103532']
61	['NZ_CP074041', 'NZ_CP101872', 'NZ_CP103478', 'NZ_CP103486']
62	['NZ_CP074045', 'NZ_CP076582']
63	['NZ_CP075720', 'NZ_MF141039']
64	['NZ_CP075724', 'NZ_CP101860', 'NZ_CP103509']
65	['NZ_CP075730', 'NZ_CP075736', 'NZ_CP103549', 'NZ_CP103638', 'NZ_CP103703']
66	['NZ_CP075744', 'NZ_CP102556']
67	['NZ_CP076261', 'NZ_CP094513']
68	['NZ_CP076263', 'NZ_CP102548']
69	['NZ_CP076278', 'NZ_CP103522']
70	['NZ_CP076491', 'NZ_CP097012']
71	['NZ_CP076492', 'NZ_CP076497']
72	['NZ_CP076494', 'NZ_CP097060']
73	['NZ_CP076803', 'NZ_CP076806']
74	['NZ_CP076810', 'NZ_CP092030']
75	['NZ_CP076813', 'NZ_CP076819', 'NZ_CP077834', 'NZ_CP096758']
76	['NZ_CP076820', 'NZ_CP077848', 'NZ_CP091466']
77	['NZ_CP077827', 'NZ_CP096752']
78	['NZ_CP077831', 'NZ_CP087306', 'NZ_CP103415', 'NZ_OK492158']
79	['NZ_CP077841', 'NZ_CP087311']
80	['NZ_CP077842', 'NZ_CP077845', 'NZ_CP096694']
81	['NZ_CP077976', 'NZ_CP078001', 'NZ_CP078011']
82	['NZ_CP077979', 'NZ_CP089237']
83	['NZ_CP077990', 'NZ_MT732197']
84	['NZ_CP080012', 'NZ_CP089066']
85	['NZ_CP085297', 'NZ_OD940433']
86	['NZ_CP086563', 'NZ_CP091239']
87	['NZ_CP087301', 'NZ_MH463250']
88	['NZ_CP087313', 'NZ_CP096721']
89	['NZ_CP087350', 'NZ_CP092486']
90	['NZ_CP087356', 'NZ_CP094286', 'NZ_CP095092', 'NZ_CP103414']
91	['NZ_CP088201', 'NZ_CP097021']
92	['NZ_CP088202', 'NZ_CP091229', 'NZ_CP091236', 'NZ_CP092559']
93	['NZ_CP091200', 'NZ_CP098728']
94	['NZ_CP091228', 'NZ_CP097011', 'NZ_CP097039']
95	['NZ_CP091233', 'NZ_CP091234']
96	['NZ_CP091238', 'NZ_CP097047']
97	['NZ_CP091902', 'NZ_CP091905']
98	['NZ_CP092053', 'NZ_CP099510']
99	['NZ_CP092546', 'NZ_CP092549', 'NZ_CP092826']
100	['NZ_CP092548', 'NZ_CP097040']
101	['NZ_CP094854', 'NZ_CP094856']
102	['NZ_CP095773', 'NZ_OL780449']
103	['NZ_CP096045', 'NZ_CP097003']
104	['NZ_CP096047', 'NZ_CP097058']
105	['NZ_CP096695', 'NZ_CP096730']
106	['NZ_CP096699', 'NZ_CP096728']
107	['NZ_CP096723', 'NZ_CP096748']
108	['NZ_CP096737', 'NZ_CP096765']
109	['NZ_CP096739', 'NZ_CP096744']
110	['NZ_CP096741', 'NZ_CP096750']
111	['NZ_CP097005', 'NZ_CP097041', 'NZ_CP102069']
112	['NZ_CP097007', 'NZ_OD940435']
113	['NZ_CP097032', 'NZ_CP098421']
114	['NZ_CP097036', 'NZ_CP098029', 'NZ_MT683614']
115	['NZ_CP098027', 'NZ_CP098744']
116	['NZ_CP099501', 'NZ_CP099507']
117	['NZ_CP101729', 'NZ_CP101773']
118	['NZ_CP101765', 'NZ_CP103627']
119	['NZ_CP101766', 'NZ_CP102187']
120	['NZ_CP101768', 'NZ_CP103321']
121	['NZ_CP101769', 'NZ_CP101789']
122	['NZ_CP101771', 'NZ_CP102191']
123	['NZ_CP101775', 'NZ_CP103696']
124	['NZ_CP101777', 'NZ_CP103322']
125	['NZ_CP101788', 'NZ_CP103563']
126	['NZ_CP101794', 'NZ_CP103316']
127	['NZ_CP101871', 'NZ_CP103637']
128	['NZ_CP101882', 'NZ_CP103617']
129	['NZ_CP102068', 'NZ_CP102073']
130	['NZ_CP102072', 'NZ_OU538996']
131	['NZ_CP102080', 'NZ_CP102881']
132	['NZ_CP102392', 'NZ_CP102489']
133	['NZ_CP102394', 'NZ_CP103317']
134	['NZ_CP102395', 'NZ_CP103620']
135	['NZ_CP102632', 'NZ_MK882885']
136	['NZ_CP102835', 'NZ_CP102992', 'NZ_CP103608', 'NZ_CP103678', 'NZ_CP103735']
137	['NZ_CP102838', 'NZ_CP103619']
138	['NZ_CP102879', 'NZ_CP103585', 'NZ_KX711879']
139	['NZ_CP103476', 'NZ_CP103565', 'NZ_CP103652']
140	['NZ_CP103480', 'NZ_CP103558']
141	['NZ_CP103517', 'NZ_CP103573']
142	['NZ_CP103518', 'NZ_CP103542']
143	['NZ_CP103523', 'NZ_CP103763']
144	['NZ_CP103527', 'NZ_CP103630']
145	['NZ_CP103551', 'NZ_CP103615']
146	['NZ_CP103566', 'NZ_CP103576']
147	['NZ_CP103594', 'NZ_CP103648']
148	['NZ_KP873172', 'NZ_KP975076']
149	['NZ_MF344570', 'NZ_MT732183']
150	['NZ_OD940423', 'NZ_OM574792']
