Contig id	Gene symbol	Start	Stop	Strand	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	Strain	Plasmid	BioSample	Organism	Size
NZ_CP045003.1	sul1	107557	108393	-	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	qacE	108440	108733	-	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIALX	98	115	85.22	100.0	98	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	catB3	108893	109522	-	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	blaOXA-1	109663	110490	-	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	blaIMP-45	111011	111745	-	subclass B1 metallo-beta-lactamase IMP-45	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	245	245	100.0	100.0	245	WP_063860608.1	subclass B1 metallo-beta-lactamase IMP-45	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	aac(6')-Ib4	111826	112377	-	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.0	100.0	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	sul1	154394	154939	-	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	INTERNAL_STOP	182	275	66.18	98.35	182	WP_063855066.1	sulfonamide-resistant dihydropteroate synthase Sul1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	qacEdelta1	154936	155280	-	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	dfrA47	155470	155964	-	trimethoprim-resistant dihydrofolate reductase DfrA47	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_034072810.1	trimethoprim-resistant dihydrofolate reductase DfrA47	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	arr-2	156090	156539	-	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	ALLELEX	150	150	100.0	100.0	150	WP_000237816.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045003.1	qnrVC1	157248	157901	-	quinolone resistance pentapeptide repeat protein QnrVC1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.0	100.0	218	WP_000415714.1	quinolone resistance pentapeptide repeat protein QnrVC1	PAG5	 pPAG5	GCF_011106815.1	Pseudomonas aeruginosa	513
NZ_CP045917.1	aph(6)-Id	360922	361728	-	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	269	278	96.76	100.0	269	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP045917.1	aph(3'')-Ib	367396	368196	-	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_010794532.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP045917.1	sul1	375896	376744	-	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	283	283	100.0	100.0	283	WP_000946487.1	sulfonamide-resistant dihydropteroate synthase Sul1	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP045917.1	tet(G)	380165	381337	-	tetracycline efflux MFS transporter Tet(G)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	391	391	100.0	100.0	391	WP_001257840.1	tetracycline efflux MFS transporter Tet(G)	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP045917.1	floR2	382277	383488	-	chloramphenicol/florfenicol efflux MFS transporter FloR2	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTX	404	404	100.0	100.0	404	WP_000214125.1	chloramphenicol/florfenicol efflux MFS transporter FloR2	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP045917.1	aac(6')-Ib4	383765	384316	-	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.0	100.0	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	CF39S	 pCF39S	GCF_011466835.1	Pseudomonas aeruginosa	469
NZ_CP061377.1	aac(6')-Ib4	363983	364534	+	aminoglycoside N-acetyltransferase AAC(6')-Ib4	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEX	184	184	100.0	100.0	184	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	blaIMP-45	364615	365349	+	subclass B1 metallo-beta-lactamase IMP-45	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	245	245	100.0	100.0	245	WP_063860608.1	subclass B1 metallo-beta-lactamase IMP-45	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	blaOXA-1	365870	366697	+	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	catB3	366838	367467	+	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	qacEdelta1	367627	367971	+	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	sul1	367968	368804	+	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	qnrVC6	371016	371669	+	quinolone resistance pentapeptide repeat protein QnrVC6	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.0	100.0	218	WP_032495607.1	quinolone resistance pentapeptide repeat protein QnrVC6	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	blaPER-1	374717	375640	+	inhibitor-resistant extended-spectrum class A beta-lactamase PER-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	308	308	100.0	100.0	308	WP_001100753.1	inhibitor-resistant extended-spectrum class A beta-lactamase PER-1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	qacE	380290	380592	+	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIALX	101	115	87.83	92.08	101	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	sul1	380589	381425	+	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259032.1	sulfonamide-resistant dihydropteroate synthase Sul1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	blaAFM-1	384586	385386	+	subclass B1 metallo-beta-lactamase AFM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	267	267	100.0	100.0	267	WP_069953510.1	subclass B1 metallo-beta-lactamase AFM-1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	ble	385393	385755	+	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	BLASTX	121	121	100.0	97.52	121	WP_004201167.1	bleomycin binding protein Ble-MBL	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	sul1	392517	393365	+	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	283	283	100.0	100.0	283	WP_000946487.1	sulfonamide-resistant dihydropteroate synthase Sul1	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	armA	397816	398586	+	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	257	257	100.0	100.0	257	WP_000359986.1	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	msr(E)	400888	402360	+	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.0	100.0	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	mph(E)	402419	403300	+	Mph(E) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	294	294	100.0	100.0	294	WP_000155092.1	Mph(E) family macrolide 2'-phosphotransferase	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	aph(3')-Ia	406047	406859	+	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061377.1	tet(C)	408768	409955	-	tetracycline efflux MFS transporter Tet(C)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	396	396	100.0	100.0	396	WP_001297013.1	tetracycline efflux MFS transporter Tet(C)	HS17-127	 pHS17-127	GCF_019364615.1	Pseudomonas aeruginosa	487
NZ_CP061851.1	blaKPC-2	6250	7128	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	R31	 pR31-KPC	GCF_014792125.1	Pseudomonas aeruginosa	29
NZ_CP064396.1	blaKPC-2	9407	10285	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	SRRSH1408	 pSRRSH1408-KPC	GCF_019857305.1	Pseudomonas aeruginosa	44
NZ_CP064398.1	blaKPC-2	7752	8630	-	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	SRRSH1002	 pSRRSH1002-KPC	GCF_019857285.1	Pseudomonas aeruginosa	49
NZ_CP064398.1	blaKPC-2	14351	15229	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	SRRSH1002	 pSRRSH1002-KPC	GCF_019857285.1	Pseudomonas aeruginosa	49
NZ_CP064400.1	blaKPC-2	56733	57611	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	QZPH41	 pQZPH41-KPC	GCF_019857325.1	Pseudomonas aeruginosa	88
NZ_CP064402.1	blaKPC-2	171162	172040	-	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	blaKPC-2	177641	178519	-	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	toprJ1	186060	187490	-	multidrug efflux transporter outer membrane subunit TOprJ1	core	AMR	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEX	477	477	100.0	100.0	477	WP_003152694.1	multidrug efflux transporter outer membrane subunit TOprJ1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	tmexD2	187498	190629	-	multidrug efflux RND transporter permease subunit TMexD2	core	AMR	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEX	1044	1044	100.0	100.0	1044	WP_027591160.1	multidrug efflux RND transporter permease subunit TMexD2	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	tmexC	190648	191604	-	multidrug efflux RND transporter periplasmic adaptor subunit TMexC	core	AMR	AMR	TETRACYCLINE	TIGECYCLINE	PARTIALX	319	387	82.43	96.55	319	WP_034039546.1	multidrug efflux RND transporter periplasmic adaptor subunit TMexC3	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	sul1	193540	194376	-	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	qacEdelta1	194373	194717	-	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	aadA25	195987	196775	-	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	263	263	100.0	99.62	263	WP_011113049.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	cmlA1	196871	198127	-	chloramphenicol efflux MFS transporter CmlA1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	419	419	100.0	100.0	419	WP_001256776.1	chloramphenicol efflux MFS transporter CmlA1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	ant(2'')-Ia	198385	198915	-	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	177	177	100.0	100.0	177	WP_000381802.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	aac(6')-Il	199050	199505	-	aminoglycoside N-acetyltransferase AAC(6')-Il	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTX	152	152	100.0	100.0	152	WP_013263788.1	aminoglycoside N-acetyltransferase AAC(6')-Il	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	ble	201317	201679	-	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	BLASTX	121	121	100.0	97.52	121	WP_004201167.1	bleomycin binding protein Ble-MBL	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	blaAFM-2	201686	202486	-	subclass B1 metallo-beta-lactamase AFM-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	267	267	100.0	100.0	267	WP_204376224.1	subclass B1 metallo-beta-lactamase AFM-2	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	sul1	205647	206483	-	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	qacEdelta1	206480	206824	-	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	dfrA27	207006	207476	-	trimethoprim-resistant dihydrofolate reductase DfrA27	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_001749985.1	trimethoprim-resistant dihydrofolate reductase DfrA27	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	arr-3	207612	208061	-	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	BLASTX	150	150	100.0	99.33	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	blaOXA-246	208200	208997	-	OXA-10 family class D beta-lactamase OXA-246	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	266	266	100.0	100.0	266	WP_063862394.1	OXA-10 family class D beta-lactamase OXA-246	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	cmlA8	209104	210360	-	chloramphenicol efflux MFS transporter CmlA8	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	ALLELEX	419	419	100.0	100.0	419	WP_032492104.1	chloramphenicol efflux MFS transporter CmlA8	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064402.1	aac(6')-IIa	210618	211169	-	aminoglycoside N-acetyltransferase AAC(6')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	184	184	100.0	100.0	184	WP_023622803.1	aminoglycoside N-acetyltransferase AAC(6')-IIa	NDTH10366	 pNDTH10366-KPC	GCF_019857345.1	Pseudomonas aeruginosa	392
NZ_CP064404.1	blaKPC-2	172039	172917	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	WTJH12	 pWTJH12-KPC	GCF_019857365.1	Pseudomonas aeruginosa	397
NZ_CP065414.1	blaKPC-2	30041	30919	+	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	P33	 pP33-2	GCF_015832055.1	Pseudomonas aeruginosa	48
NZ_CP065418.1	blaKPC-2	3844	4722	-	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	P23	 pP23-KPC	GCF_015832075.1	Pseudomonas aeruginosa	41
NZ_CP068679.1	aph(3'')-Ib	9580	10404	+	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NCCP15783	 unnamed	GCF_021513295.1	Pseudomonas aeruginosa	54
NZ_CP068679.1	aph(6)-Id	10407	11240	+	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NCCP15783	 unnamed	GCF_021513295.1	Pseudomonas aeruginosa	54
